Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
AUC,Ds005602,left,MobileNet,SVM,0.9486,0.9386,1.5293691909193428e-183,Yes (p<0.01)
AUC,Ds005602,left,PointNet,ResNet+AE,0.9613,0.9515,3.7536183150195946e-136,Yes (p<0.01)
AUC,Ds005602,left,PointNet,ResNet,0.9613,0.9485,2.944452586443015e-175,Yes (p<0.01)
AUC,Ds005602,left,PointNet,SqueezeNet,0.9613,0.9531,5.378139432800743e-121,Yes (p<0.01)
AUC,Ds005602,left,PointNet,SVM,0.9613,0.9386,6.210422893625718e-245,Yes (p<0.01)
AUC,Ds005602,left,ResNet+AE,ResNet,0.9515,0.9485,3.052065590626144e-117,Yes (p<0.01)
AUC,Ds005602,left,ResNet+AE,SqueezeNet,0.9515,0.9531,2.3245668119273505e-20,Yes (p<0.01)
AUC,Ds005602,left,ResNet+AE,SVM,0.9515,0.9386,3.4241126663183264e-223,Yes (p<0.01)
AUC,Ds005602,left,ResNet,SqueezeNet,0.9485,0.9531,2.0371748444110325e-79,Yes (p<0.01)
AUC,Ds005602,left,ResNet,SVM,0.9485,0.9386,1.833173660033027e-206,Yes (p<0.01)
AUC,Ds005602,left,SqueezeNet,SVM,0.9531,0.9386,7.420909616995705e-205,Yes (p<0.01)
AUC,Ds005602,right,MLP,MobileNet,0.9302,0.9497,2.4444521061146213e-34,Yes (p<0.01)
AUC,Ds005602,right,MLP,PointNet,0.9302,0.9504,8.236521241534726e-43,Yes (p<0.01)
AUC,Ds005602,right,MLP,ResNet+AE,0.9302,0.9468,1.3419895716826547e-22,Yes (p<0.01)
AUC,Ds005602,right,MLP,ResNet,0.9302,0.9541,8.975349634173792e-48,Yes (p<0.01)
AUC,Ds005602,right,MLP,SqueezeNet,0.9302,0.9631,2.3987323206878334e-94,Yes (p<0.01)
AUC,Ds005602,right,MLP,SVM,0.9302,0.9752,1.1562257085962827e-168,Yes (p<0.01)
AUC,Ds005602,right,MobileNet,PointNet,0.9497,0.9504,0.499833816757536,No
AUC,Ds005602,right,MobileNet,ResNet+AE,0.9497,0.9468,1.1447491655376088e-12,Yes (p<0.01)
AUC,Ds005602,right,MobileNet,ResNet,0.9497,0.9541,1.5108195510489614e-88,Yes (p<0.01)
AUC,Ds005602,right,MobileNet,SqueezeNet,0.9497,0.9631,8.164069948179527e-120,Yes (p<0.01)
AUC,Ds005602,right,MobileNet,SVM,0.9497,0.9752,9.534436786242006e-210,Yes (p<0.01)
AUC,Ds005602,right,PointNet,ResNet+AE,0.9504,0.9468,0.0021179074059437695,Yes (p<0.01)
