Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
AUC,Ds005602,right,MLP,ResNet,0.9211,0.9335,4.62540982879862e-106,Yes (p<0.01)
AUC,Ds005602,right,MLP,SVM,0.9211,0.9175,5.115613355530293e-35,Yes (p<0.01)
AUC,Ds005602,right,MobileNet,ResNet+AE,0.9098,0.9175,9.936914363837054e-22,Yes (p<0.01)
AUC,Ds005602,right,MobileNet,ResNet,0.9098,0.9335,1.7246550964455181e-141,Yes (p<0.01)
AUC,Ds005602,right,MobileNet,SVM,0.9098,0.9175,5.340435948388013e-50,Yes (p<0.01)
AUC,Ds005602,right,ResNet+AE,ResNet,0.9175,0.9335,5.6963440484141705e-201,Yes (p<0.01)
AUC,Ds005602,right,ResNet+AE,SVM,0.9175,0.9175,0.9341843687634812,No
AUC,Ds005602,right,ResNet,SVM,0.9335,0.9175,2.9924444419166527e-145,Yes (p<0.01)
F1_Class0,All_Augment_tain,left,MLP,MobileNet,0.8306,0.8476,3.3241669373495797e-108,Yes (p<0.01)
F1_Class0,All_Augment_tain,left,MLP,ResNet+AE,0.8306,0.8171,3.4337853426581544e-107,Yes (p<0.01)
F1_Class0,All_Augment_tain,left,MLP,ResNet,0.8306,0.8673,0.0,Yes (p<0.01)
F1_Class0,All_Augment_tain,left,MLP,SVM,0.8306,0.8359,5.186362183946504e-16,Yes (p<0.01)
F1_Class0,All_Augment_tain,left,MobileNet,ResNet+AE,0.8476,0.8171,1.0930438861751765e-251,Yes (p<0.01)
F1_Class0,All_Augment_tain,left,MobileNet,ResNet,0.8476,0.8673,3.107256728356109e-297,Yes (p<0.01)
F1_Class0,All_Augment_tain,left,MobileNet,SVM,0.8476,0.8359,1.228208757959996e-83,Yes (p<0.01)
F1_Class0,All_Augment_tain,left,ResNet+AE,ResNet,0.8171,0.8673,0.0,Yes (p<0.01)
F1_Class0,All_Augment_tain,left,ResNet+AE,SVM,0.8171,0.8359,1.4797034206428085e-167,Yes (p<0.01)
F1_Class0,All_Augment_tain,left,ResNet,SVM,0.8673,0.8359,0.0,Yes (p<0.01)
F1_Class0,All_Augment_tain,right,MLP,MobileNet,0.9147,0.9266,3.157131719970352e-86,Yes (p<0.01)
F1_Class0,All_Augment_tain,right,MLP,ResNet+AE,0.9147,0.9015,1.6063996387129457e-86,Yes (p<0.01)
F1_Class0,All_Augment_tain,right,MLP,ResNet,0.9147,0.9094,4.1372769765261874e-19,Yes (p<0.01)
F1_Class0,All_Augment_tain,right,MLP,SVM,0.9147,0.8866,2.0443707048295302e-210,Yes (p<0.01)
F1_Class0,All_Augment_tain,right,MobileNet,ResNet+AE,0.9266,0.9015,2.9255123891630025e-259,Yes (p<0.01)
F1_Class0,All_Augment_tain,right,MobileNet,ResNet,0.9266,0.9094,5.480488696655288e-203,Yes (p<0.01)
F1_Class0,All_Augment_tain,right,MobileNet,SVM,0.9266,0.8866,0.0,Yes (p<0.01)
F1_Class0,All_Augment_tain,right,ResNet+AE,ResNet,0.9015,0.9094,2.88678460698463e-46,Yes (p<0.01)
F1_Class0,All_Augment_tain,right,ResNet+AE,SVM,0.9015,0.8866,1.4774105086688092e-232,Yes (p<0.01)
